Descripción,Unidad,Costo,Familia,Subfamilia
"Recubrimiento acrílico en pasta Texturi Tersa®, cubeta de 19 litros",pieza,$588.22,Pinturas y recubrimientos,Pastas y texturizados
"Recubrimiento protector y decorativo elástico Festerblanc, cubeta de 19 litros",pieza,"$2,522.67",Impermeabilizantes,Impermeabilizante acrílico
"Recubrimiento texturizable Vinicement D, cubeta de 33 kg",Cubeta,$934.00,Pinturas y recubrimientos,Pastas y texturizados
"Reducción Fo.Fo. Bridada de 10""x 3"" (250x76 mm)",pieza,"$1,405.92",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 4"" (250x100 mm)",pieza,"$1,511.20",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 6"" (250x150 mm)",pieza,"$1,650.31",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 8"" (250x200 mm)",pieza,"$1,897.91",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2"" (76x51 mm)",pieza,$245.94,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2-1/2"" (76x63 mm)",pieza,$281.12,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2"" (100x51 mm)",pieza,$386.51,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2-1/2"" (100x63 mm)",pieza,$421.53,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 3"" (100x76 mm)",pieza,$556.77,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2"" (150x51 mm)",pieza,$597.52,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2-1/2"" (150x63 mm)",pieza,$632.60,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 3"" (150x76 mm)",pieza,$667.63,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 4"" (150x100 mm)",pieza,$773.11,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2"" (200x51 mm)",pieza,$913.62,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2-1/2"" (200x63 mm)",pieza,$983.98,Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 3"" (200x76 mm)",pieza,"$1,019.01",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 4"" (200x100 mm)",pieza,"$1,124.59",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 6"" (200x150 mm)",pieza,"$1,265.06",Instalaciones hidráulicas,Conexiones
Refuerzo horizontal para muro de block,m,$6.39,Aceros,Alambrón y alambre
Rejilla de piso con bisagra Fo.Fo. de 60x40 cm en 80kg,pieza,"$1,120.00",Instalaciones sanitarias,Coladeras y rejillas
"Rollo plomero de lija de 25 mm de ancho, largo de 45 m, tipo J-86, modelo 01917",m,$5.67,Ferretería,Lijas y abrasivos
"Sellador acrílico 5x1 Reforzado®, cubeta de 19 litros.",l,$66.28,Pinturas y recubrimientos,Selladores de muro
"Semivigueta de concreto con alma abierta, peralte de 13 cm, de 2.20 m de longitud",m,$180.00,Mampostería,Vigueta
"Semivigueta de concreto con alma abierta, peralte de 15 cm, de 2.20 m de longitud",m,$180.00,Mampostería,Vigueta
"Silicón blanco industrial Dow Corning 732, cartucho de 300 ml",pieza,$102.59,Ferretería,Adhesivos
"Sistema prefabricado de compuesto de asfaltos destilados modificados modelo PG-45 T SBS con refuerzo de poliéster 180 grs/m2, acabado superior de gravilla, acabado inferior de polietileno, espesor de 4.50 mm, rollo de 100 x 1 m",m²,$18.92,Impermeabilizantes,Mantos prefabricados
"Slant de concreto de 6""(15 cm) de dámetro, resistencia del concreto 280 kgf/cm2, longitud total 100 cm, peso 0.028 kg",pieza,$69.79,Instalaciones sanitarias,Conexiones sanitarias
"Tabique de 20 x 10 x 10 cm, de 1 cara, capa de esmalte vidriado",millar,"$25,180.00",Mampostería,Tabique
"Tabique de 20 x 10 x 10 cm, de 2 caras, capa de esmalte vidriado",millar,"$25,180.00",Mampostería,Tabique
"Tabique hueco Vintex Natural 12/12 de 12x12x24 cm, acabado liso, modelo VIN1212NATU",millar,"$6,461.93",Mampostería,Tabique
"Tabique hueco Vintex Natural 6/12 de 6x12x24 cm, acabado rústico, modelo VIN0612RNATU",millar,"$3,879.31",Mampostería,Tabique
Tabique rojo recocido de 7 x 14 x 28 cm,millar,"$2,365.95",Mampostería,Tabique
"Tablacemento USG DUROCK® de 1/2""(12.7 mm) de espesor, medidas 1,22m x 2.44m",pieza,$96.55,"Cementos, cales y yesos",Tablacemento
"Tapa ciega Fo.Fo. de 10"" (256 mm) de diámetro",pieza,$924.14,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2"" (51 mm) de diámetro",pieza,$70.26,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2-1/2"" (63 mm) de diámetro",pieza,$105.49,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 3"" (76 mm) de diámetro",pieza,$130.13,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 4"" (101 mm) de diámetro",pieza,$228.46,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 6"" (152 mm) de diámetro",pieza,$369.02,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 8"" (203 mm) de diámetro",pieza,$633.26,Instalaciones hidráulicas,Conexiones
Tapa precolada para registro de 0.40x0.60x1.00 m,pieza,$388.33,Mampostería,Registros y brocales
"Tapete de jerga de 60 x 37 cm, clave TAJE-60",pieza,$50.00,Ferretería,Consumibles
Tapón cubretaladros modelo PL-A100,pieza,$21.36,Ferretería,Consumibles
"Taquete color negro de 1/2"" x 1"", modelo FDP013",caja,$18.32,Ferretería,Anclas y taquetes
"Taquete color negro de 1/4 x 1"", modelo FDP006",pieza,$0.16,Ferretería,Anclas y taquetes
"Taquete color negro de 5/16 x 1"", modelo FDP008",pieza,$0.21,Ferretería,Anclas y taquetes
"Taza redonda de cerámica porcelanizada de 4.8 litros por descarga, modelo Cadet PRO NH RF, color blanco.",pieza,"$1,369.26",Instalaciones sanitarias,Muebles de baño
"Tee de Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",pieza,"$4,401.76",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",pieza,"$3,636.27",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",pieza,"$3,674.44",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",pieza,"$3,789.30",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",pieza,"$3,942.49",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",pieza,"$4,133.87",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",pieza,$382.74,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2"" (64x51 mm)",pieza,"$1,595.05",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",pieza,$497.56,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",pieza,$574.12,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",pieza,$612.31,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",pieza,$650.59,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",pieza,$880.20,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",pieza,$918.63,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",pieza,$957.02,Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",pieza,"$1,071.68",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",pieza,"$1,416.19",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",pieza,"$1,454.42",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",pieza,"$1,492.81",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",pieza,"$1,607.61",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",pieza,"$1,722.52",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",pieza,"$2,558.31",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",pieza,"$2,296.54",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",pieza,"$2,411.44",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",pieza,"$2,526.26",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",pieza,"$2,752.80",Instalaciones hidráulicas,Conexiones
Tepetate,m³,$300.00,Agregados,Tepetate
Terrazo modelo Slate Yakarta 30 de 30 x 30 cm,m²,$742.48,Pisos y azulejos,Mosaico
Tezontle,m³,$380.00,Agregados,Tezontle
"Thinner estándar Comex, bote de 20 litros",l,$29.78,Pinturas y recubrimientos,Thinner y solventes
"Tornillo cabeza extraplana de 6 mm x 1 1/8""",pieza,$0.14,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 1/2"" x 2"", código EL13051",pieza,$13.16,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 3/4"" x 4"", código EL19102",pieza,$50.59,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 7/8"" x 5"", código EL22127",pieza,$86.21,Ferretería,Tornillería
"Tornillo de acero de 16 x 64 mm (5/8"" x 2 1/2"") para brida",pieza,$17.24,Ferretería,Tornillería
"Tornillo de acero de 16 x 75 mm (5/8"" x 3"") para brida",pieza,$20.69,Ferretería,Tornillería
Triplay de madera de pino de 1a de 6 mm x 1.22 m x 2.44 m,m²,$91.43,Maderas,Triplay de acabado
"Tubo de concreto reforzado de 107 cm (42"") con junta hermética, unión espiga-campana, grado 1",m,"$2,298.00",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 122 cm (48"") con junta hermética, unión espiga-caja, grado 1",m,"$2,754.00",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 45 cm (18"") con junta hermética, unión espiga-campana, grado 1",m,$556.00,Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 61 cm (24"") con junta hermética, unión espiga-campana, grado 1",m,$846.00,Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 76 cm (30"") con junta hermética, unión espiga-campana, grado 1",m,"$1,324.00",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 91 cm (36"") con junta hermética, unión espiga-campana, grado 1",m,"$1,735.00",Mampostería,Tubos de concreto
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$105.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$105.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 20 cm (8"") con junta hermética, grado 1",m,$147.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$206.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$206.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 30 cm (12"") con junta hermética, grado 1",m,$251.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 38 cm (15"") con junta hermética, grado 1",m,$393.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 45 cm (18"") con junta hermética, grado 1",m,$449.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 61 cm (24"") con junta hermética, grado 1",m,$846.00,Mampostería,Tubos de concreto
"Tubo de concreto simple de 8"" (200 mm)",m,$338.67,Mampostería,Tubos de concreto
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 100 mm (4"") de 6m",m,$98.20,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 150 mm (6"") de 6m",m,$150.68,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 200 mm (8"") de 6m",m,$256.13,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 51 mm (2"") de 6m",m,$19.25,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 64 mm (2 1/2"") de 6m",m,$28.42,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 75 mm (3"") de 6m",m,$42.01,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 114.3 mm (4"") tramo de 6 m",m,$115.96,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 73 mm (2 1/2"") tramo de 6 m",m,$50.61,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 88.9 mm (3"") tramo de 6 m",m,$70.91,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo sanitario de PVC pared lisa de 50 mm (2"") tramo de 6 m",m,$11.00,Instalaciones sanitarias,Tubería PVC sanitaria
Utilidad de taller (materiales),%ma,$19.71,Ferretería,Consumibles
"Válvula de compuerta de hierro fundido tipo OS&Y de 102 mm (4"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$7,816.70",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 152 mm (6"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$13,389.43",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 203 mm (8"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$19,493.90",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 254 mm (10"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$30,958.40",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 51 mm (2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$3,392.56",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 64 mm (2 1/2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$4,307.16",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 76 mm (3"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$4,987.80",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 102 mm (4"") barrenado a bridas, Clase 125, figura W928F",pieza,"$6,221.46",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 152 mm (6"") barrenado a bridas, Clase 125, figura W928F",pieza,"$9,890.52",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 203 mm (8"") barrenado a bridas, Clase 125, figura W928F",pieza,"$16,665.00",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 254 mm (10"") barrenado a bridas, Clase 125, figura W928F",pieza,"$27,268.07",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 51 mm (2"") barrenado a bridas, Clase 125, figura W928F",pieza,"$2,541.76",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 64 mm (2 1/2"") barrenado a bridas, Clase 125, figura W928F",pieza,"$3,318.11",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 76 mm (3"") barrenado a bridas, Clase 125, figura W928F",pieza,"$4,009.38",Instalaciones hidráulicas,Válvulas de agua
"Varilla corrugada grado 60 de 5/16"", clave 2425",kg,$16.98,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 3 (3/8"") clave 30764",t,"$16,790.92",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 4 (1/2"") clave 30767",t,"$16,790.92",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 5 (5/8"") clave 30770",kg,$16.79,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 8 (1"") clave 30776",kg,$16.79,Aceros,Varilla
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$315.85,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$357.04,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$368.70,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$433.44,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$556.17,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$703.25,Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.00x1.00 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$528.80,Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.20x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$659.25,Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.50x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$743.44,Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.80x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$831.83,Cancelería y vidrio,Ventanas
"Yeso de construcción, tipo Imperial, color blanco, saco de 40 kg",t,"$1,350.00","Cementos, cales y yesos",Yeso de construcción
