Descripción,Unidad,Costo,Familia,Subfamilia
"Poste cónico cuadrado, serie PCCU de 5 de altura, espesor de placa de 11.1 mm, terminado galvanizado",Pieza,"$2,100.79",Instalaciones eléctricas,Postes y brazos
"Poste metálico cal. 26, 9.20 cm x 2.44",m,$38.18,Aceros,Canales
"Puerta de abatir de 1.80 x 1.20 m, cristal claro de mm completo, con marco de aluminio blanco pintura electrostática. (incluye: chapa sencilla con llave y 2 jaladeras)",Pieza,"$6,507.59",Cancelería y vidrio,Puertas y canceles
"Recubrimiento acrílico pasta Texturi Tersa®, cubeta de 19 litros",Pieza,"$1,067.76",Pinturas y recubrimientos,Pastas y texturizados
"Recubrimiento protector y decorativo elástico Festerblanc, cubeta de 19 litros, marca Fester",Pieza,"$3,388.66",Impermeabilizantes,Impermeabilizante acrílico
"Recubrimiento texturizable Vinicement D, cubeta de 33 kg, color J101, marca Corev",Cubeta,"$1,337.07",Pinturas y recubrimientos,Pastas y texturizados
"Reducción Fo.Fo. Bridada de 10""x 3"" (250x76 mm)",Pieza,"$6,294.73",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 4"" (250x100 mm)",Pieza,"$7,032.56",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 6"" (250x150 mm)",Pieza,"$7,414.64",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 8"" (250x200 mm)",Pieza,"$8,891.03",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2"" (76x51 mm)",Pieza,"$1,202.51",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2-1/2"" (76x63 mm)",Pieza,"$1,576.62",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2"" (100x51 mm)",Pieza,"$1,831.47",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2-1/2"" (100x63 mm)",Pieza,"$2,097.28",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 3"" (100x76 mm)",Pieza,"$2,303.26",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2"" (150x51 mm)",Pieza,"$2,662.37",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2-1/2"" (150x63 mm)",Pieza,"$3,005.10",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 3"" (150x76 mm)",Pieza,"$3,479.05",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 4"" (150x100 mm)",Pieza,"$3,637.96",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2"" (200x51 mm)",Pieza,"$4,191.55",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2-1/2"" (200x63 mm)",Pieza,"$4,310.90",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 3"" (200x76 mm)",Pieza,"$4,402.70",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 4"" (200x100 mm)",Pieza,"$5,013.95",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 6"" (200x150 mm)",Pieza,"$5,734.85",Instalaciones hidráulicas,Conexiones
Refuerzo horizontal para muro de block,m,$9.89,Aceros,Alambrón y alambre
Rejilla de piso con bisagra Fo.Fo. de 60x40 cm 80kg,Pieza,"$4,212.91",Instalaciones sanitarias,Coladeras y rejillas
"Rollo plomero de lija de 25 mm de ancho, largo de 45 m, tipo J-86, modelo 01917",m,$8.59,Ferretería,Lijas y abrasivos
"Sellador acrílico 5x1 Reforzado®, cubeta de 19 litros.",l,$113.05,Pinturas y recubrimientos,Selladores de muro
"Semivigueta de concreto con alma abierta, peralte de 13 cm, de 2.20 de longitud",m,$162.01,Mampostería,Vigueta
"Semivigueta de concreto con alma abierta, peralte de 15 cm, de 2.20 de longitud",m,$162.01,Mampostería,Vigueta
"Silicón blanco industrial Dow Corning 732, cartucho de 300 ml",Pieza,$112.39,Ferretería,Adhesivos
"Sistema prefabricado de compuesto de asfaltos destilados modificados modelo PG-45 T SBS con refuerzo de poliéster 180 grs/m2, acabado superior de gravilla, acabado inferior de polietileno, espesor de 4.50 mm, rollo de 100 x 1 m",m²,$29.91,Impermeabilizantes,Mantos prefabricados
"Slant de concreto de 6""(15 cm) de dámetro, resistencia del concreto 280 kgf/cm2, longitud total 100 cm, peso 0.028 kg",Pieza,$97.47,Instalaciones sanitarias,Conexiones sanitarias
"Tabique de 20 x 10 x 10 cm, de 1 cara, capa de esmalte vidriado",Millar,"$51,809.26",Mampostería,Tabique
"Tabique de 20 x 10 x 10 cm, de 2 caras, capa de esmalte vidriado",Millar,"$65,560.67",Mampostería,Tabique
"Tabique hueco Vintex Natural 12/12 de 12x12x24 cm, acabado liso, modelo VIN1212NATU",Millar,"$7,805.49",Mampostería,Tabique
"Tabique hueco Vintex Natural 6/12 de 6x12x24 cm, acabado rústico, modelo VIN0612RNATU",Millar,"$3,811.29",Mampostería,Tabique
Tabique rojo recocido de 7 x 14 x 28 cm,Millar,"$3,728.34",Mampostería,Tabique
"Tablacemento USG DUROCK® de 1/2""(12.7 mm) de espesor, medidas 1,22m x 2.44m",Pieza,$758.63,"Cementos, cales y yesos",Tablacemento
"Tapa ciega Fo.Fo. de 10"" (256 mm) de diámetro",Pieza,"$3,939.96",Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2"" (51 mm) de diámetro",Pieza,$310.61,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2-1/2"" (63 mm) de diámetro",Pieza,$466.25,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 3"" (76 mm) de diámetro",Pieza,$603.09,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 4"" (101 mm) de diámetro",Pieza,$988.15,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 6"" (152 mm) de diámetro",Pieza,"$1,596.94",Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 8"" (203 mm) de diámetro",Pieza,"$2,633.20",Instalaciones hidráulicas,Conexiones
Tapa precolada para registro de 0.40x0.60x1.00,Pieza,$529.01,Mampostería,Registros y brocales
"Tapete de jerga de 60 x 37 cm, clave TAJE-60",Pieza,$68.75,Ferretería,Consumibles
Tapón cubretaladros modelo PL-A100,Pieza,$30.86,Ferretería,Consumibles
"Taquete color negro de 1/2"" x 1"", modelo FDP013",Caja,$44.61,Ferretería,Anclas y taquetes
"Taquete color negro de 1/4 x 1"", modelo FDP006",Pieza,$0.62,Ferretería,Anclas y taquetes
"Taquete color negro de 5/16 x 1"", modelo FDP008",Pieza,$0.75,Ferretería,Anclas y taquetes
"Taza redonda de cerámica porcelanizada de 4.8 litros por descarga, modelo Cadet Pro RF, color blanco.",Pieza,"$1,749.04",Instalaciones sanitarias,Muebles de baño
"Tee de Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",Pieza,"$21,045.93",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",Pieza,"$14,551.94",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",Pieza,"$16,215.12",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",Pieza,"$16,729.19",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",Pieza,"$17,525.56",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",Pieza,"$18,607.88",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",Pieza,"$1,615.03",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2"" (64x51 mm)",Pieza,"$1,937.72",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",Pieza,"$2,104.88",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",Pieza,"$2,968.26",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",Pieza,"$3,141.62",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",Pieza,"$3,378.24",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",Pieza,"$3,710.09",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",Pieza,"$3,919.11",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",Pieza,"$4,295.20",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",Pieza,"$4,648.75",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",Pieza,"$5,705.49",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",Pieza,"$6,083.24",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",Pieza,"$6,338.86",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",Pieza,"$6,760.91",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",Pieza,"$7,160.10",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",Pieza,"$9,279.50",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",Pieza,"$9,837.71",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",Pieza,"$10,351.02",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",Pieza,"$10,861.73",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",Pieza,"$11,650.08",Instalaciones hidráulicas,Conexiones
Tepetate,m³,$333.50,Agregados,Tepetate
"Piso porcelánico modelo Dome, de 60 x 60 cm, color Graphite, marca Interceramic",m²,$681.80,Pisos y azulejos,Loseta
Tezontle,m³,$594.46,Agregados,Tezontle
"Thinner estándar Comex, bote de 20 litros",l,$52.50,Pinturas y recubrimientos,Thinner y solventes
"Tornillo cabeza extraplana de 6 mm x 1 1/8""",Pieza,$0.33,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 1/2"" x 2"", código EL13051",Pieza,$28.81,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 3/4"" x 4"", código EL19102",Pieza,$71.05,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 7/8"" x 5"", código EL22127",Pieza,$129.47,Ferretería,Tornillería
"Tornillo de acero de 16 x 64 mm (5/8"" x 2 1/2"") para brida",Pieza,$34.10,Ferretería,Tornillería
"Tornillo de acero de 16 x 75 mm (5/8"" x 3"") para brida",Pieza,$37.40,Ferretería,Tornillería
Triplay de madera de pino de 1a de 6 mm x 1.22 x 2.44,m²,$101.40,Maderas,Triplay de acabado
"Tubo de concreto reforzado de 107 cm (42"") con junta hermética, unión espiga-campana, grado 1",m,"$3,921.49",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 122 cm (48"") con junta hermética, unión espiga-caja, grado 1",m,"$4,763.74",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 45 cm (18"") con junta hermética, unión espiga-campana, grado 1",m,$855.72,Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 61 cm (24"") con junta hermética, unión espiga-campana, grado 1",m,"$1,408.23",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 76 cm (30"") con junta hermética, unión espiga-campana, grado 1",m,"$2,055.08",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 91 cm (36"") con junta hermética, unión espiga-campana, grado 1",m,"$2,701.92",Mampostería,Tubos de concreto
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$128.02,Mampostería,Tubos de concreto
"Tubo de concreto simple de 20 cm (8"") con junta hermética, grado 1",m,$195.40,Mampostería,Tubos de concreto
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$262.78,Mampostería,Tubos de concreto
"Tubo de concreto simple de 30 cm (12"") con junta hermética, grado 1",m,$256.04,Mampostería,Tubos de concreto
"Tubo de concreto simple de 38 cm (15"") con junta hermética, grado 1",m,$565.99,Mampostería,Tubos de concreto
"Tubo de concreto simple de 45 cm (18"") con junta hermética, grado 1",m,$667.05,Mampostería,Tubos de concreto
"Tubo de concreto simple de 61 cm (24"") con junta hermética, grado 1",m,"$1,214.10",Mampostería,Tubos de concreto
"Tubo de concreto simple de 8"" (200 mm)",m,$514.26,Mampostería,Tubos de concreto
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 100 mm (4"") de 6m",m,$133.62,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 150 mm (6"") de 6m",m,$290.62,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 200 mm (8"") de 6m",m,$489.50,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 51 mm (2"") de 6m",m,$36.84,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 64 mm (2 1/2"") de 6m",m,$54.35,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 75 mm (3"") de 6m",m,$80.33,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 114.3 mm (4"") tramo de 6",m,$179.33,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 73 mm (2 1/2"") tramo de 6",m,$76.98,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 88.9 mm (3"") tramo de 6",m,$109.85,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo sanitario de PVC pared lisa de 50 mm (2"") tramo de 6",m,$30.78,Instalaciones sanitarias,Tubería PVC sanitaria
"Válvula de compuerta de hierro fundido tipo OS&Y de 102 mm (4"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$14,562.23",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 152 mm (6"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$23,921.34",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 203 mm (8"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$36,614.27",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 254 mm (10"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$55,334.29",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 51 mm (2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$9,179.85",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 64 mm (2 1/2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$9,484.71",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 76 mm (3"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$10,592.68",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 102 mm (4"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$8,214.81",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 152 mm (6"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$11,865.84",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 203 mm (8"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$22,800.67",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 254 mm (10"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$40,161.29",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 51 mm (2"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$4,655.06",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 64 mm (2 1/2"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$4,837.60",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 76 mm (3"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$5,659.09",Instalaciones hidráulicas,Válvulas de agua
"Varilla corrugada grado 60 de 5/16"", clave 2425",kg,$34.41,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° (3/8"") clave 30764",t,"$20,432.50",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 4 (1/2"") clave 30767",t,"$20,432.50",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 5 (5/8"") clave 30770",kg,$20.44,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 8 (1"") clave 30776",kg,$20.44,Aceros,Varilla
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$867.67,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$867.67,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$924.57,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$924.57,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,351.30",Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,351.30",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.00x1.00 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,218.54",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.20x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,465.09",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.50x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,465.09",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.80x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$2,274.91",Cancelería y vidrio,Ventanas
"Yeso de construcción, tipo Imperial, color blanco, saco de 40 kg",t,"$1,919.09","Cementos, cales y yesos",Yeso de construcción
