Descripción,Unidad,Costo,Familia,Subfamilia
"Poste cónico cuadrado, serie PCCU de 5 de altura, espesor de placa de 11.1 mm, terminado galvanizado",Pieza,"$2,310.87",Instalaciones eléctricas,Postes y brazos
"Poste metálico cal. 26, 9.20 cm x 2.44",m,$42.00,Aceros,Canales
"Puerta de abatir de 1.80 x 1.20 m, cristal claro de mm completo, con marco de aluminio blanco pintura electrostática. (incluye: chapa sencilla con llave y 2 jaladeras)",Pieza,"$7,158.35",Cancelería y vidrio,Puertas y canceles
"Recubrimiento acrílico pasta Texturi Tersa®, cubeta de 19 litros",Pieza,"$1,174.54",Pinturas y recubrimientos,Pastas y texturizados
"Recubrimiento protector y decorativo elástico Festerblanc, cubeta de 19 litros, marca Fester",Pieza,"$3,727.53",Impermeabilizantes,Impermeabilizante acrílico
"Recubrimiento texturizable Vinicement D, cubeta de 33 kg, color J101, marca Corev",Cubeta,"$1,470.78",Pinturas y recubrimientos,Pastas y texturizados
"Reducción Fo.Fo. Bridada de 10""x 3"" (250x76 mm)",Pieza,"$6,924.20",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 4"" (250x100 mm)",Pieza,"$7,735.82",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 6"" (250x150 mm)",Pieza,"$8,156.10",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 10""x 8"" (250x200 mm)",Pieza,"$9,780.13",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2"" (76x51 mm)",Pieza,"$1,322.76",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 3""x 2-1/2"" (76x63 mm)",Pieza,"$1,734.28",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2"" (100x51 mm)",Pieza,"$2,014.62",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 2-1/2"" (100x63 mm)",Pieza,"$2,307.01",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 4""x 3"" (100x76 mm)",Pieza,"$2,533.59",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2"" (150x51 mm)",Pieza,"$2,928.61",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 2-1/2"" (150x63 mm)",Pieza,"$3,305.61",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 3"" (150x76 mm)",Pieza,"$3,826.96",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 6""x 4"" (150x100 mm)",Pieza,"$4,001.76",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2"" (200x51 mm)",Pieza,"$4,610.71",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 2-1/2"" (200x63 mm)",Pieza,"$4,741.99",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 3"" (200x76 mm)",Pieza,"$4,842.97",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 4"" (200x100 mm)",Pieza,"$5,515.35",Instalaciones hidráulicas,Conexiones
"Reducción Fo.Fo. Bridada de 8""x 6"" (200x150 mm)",Pieza,"$6,308.34",Instalaciones hidráulicas,Conexiones
Refuerzo horizontal para muro de block,m,$10.88,Aceros,Alambrón y alambre
Rejilla de piso con bisagra Fo.Fo. de 60x40 cm 80kg,Pieza,"$4,634.20",Instalaciones sanitarias,Coladeras y rejillas
"Rollo plomero de lija de 25 mm de ancho, largo de 45 m, tipo J-86, modelo 01917",m,$9.45,Ferretería,Lijas y abrasivos
"Sellador acrílico 5x1 Reforzado®, cubeta de 19 litros.",l,$124.36,Pinturas y recubrimientos,Selladores de muro
"Semivigueta de concreto con alma abierta, peralte de 13 cm, de 2.20 de longitud",m,$178.21,Mampostería,Vigueta
"Semivigueta de concreto con alma abierta, peralte de 15 cm, de 2.20 de longitud",m,$178.21,Mampostería,Vigueta
"Silicón blanco industrial Dow Corning 732, cartucho de 300 ml",Pieza,$123.63,Ferretería,Adhesivos
"Sistema prefabricado de compuesto de asfaltos destilados modificados modelo PG-45 T SBS con refuerzo de poliéster 180 grs/m2, acabado superior de gravilla, acabado inferior de polietileno, espesor de 4.50 mm, rollo de 100 x 1 m",m²,$32.90,Impermeabilizantes,Mantos prefabricados
"Slant de concreto de 6""(15 cm) de dámetro, resistencia del concreto 280 kgf/cm2, longitud total 100 cm, peso 0.028 kg",Pieza,$107.22,Instalaciones sanitarias,Conexiones sanitarias
"Tabique de 20 x 10 x 10 cm, de 1 cara, capa de esmalte vidriado",Millar,"$56,990.19",Mampostería,Tabique
"Tabique de 20 x 10 x 10 cm, de 2 caras, capa de esmalte vidriado",Millar,"$72,116.74",Mampostería,Tabique
"Tabique hueco Vintex Natural 12/12 de 12x12x24 cm, acabado liso, modelo VIN1212NATU",Millar,"$8,586.04",Mampostería,Tabique
"Tabique hueco Vintex Natural 6/12 de 6x12x24 cm, acabado rústico, modelo VIN0612RNATU",Millar,"$4,192.42",Mampostería,Tabique
Tabique rojo recocido de 7 x 14 x 28 cm,Millar,"$4,101.17",Mampostería,Tabique
"Tablacemento USG DUROCK® de 1/2""(12.7 mm) de espesor, medidas 1,22m x 2.44m",Pieza,$834.49,"Cementos, cales y yesos",Tablacemento
"Tapa ciega Fo.Fo. de 10"" (256 mm) de diámetro",Pieza,"$4,333.96",Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2"" (51 mm) de diámetro",Pieza,$341.67,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 2-1/2"" (63 mm) de diámetro",Pieza,$512.88,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 3"" (76 mm) de diámetro",Pieza,$663.40,Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 4"" (101 mm) de diámetro",Pieza,"$1,086.97",Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 6"" (152 mm) de diámetro",Pieza,"$1,756.63",Instalaciones hidráulicas,Conexiones
"Tapa ciega Fo.Fo. de 8"" (203 mm) de diámetro",Pieza,"$2,896.52",Instalaciones hidráulicas,Conexiones
Tapa precolada para registro de 0.40x0.60x1.00,Pieza,$581.91,Mampostería,Registros y brocales
"Tapete de jerga de 60 x 37 cm, clave TAJE-60",Pieza,$75.63,Ferretería,Consumibles
Tapón cubretaladros modelo PL-A100,Pieza,$33.95,Ferretería,Consumibles
"Taquete color negro de 1/2"" x 1"", modelo FDP013",Caja,$49.07,Ferretería,Anclas y taquetes
"Taquete color negro de 1/4 x 1"", modelo FDP006",Pieza,$0.68,Ferretería,Anclas y taquetes
"Taquete color negro de 5/16 x 1"", modelo FDP008",Pieza,$0.83,Ferretería,Anclas y taquetes
"Taza redonda de cerámica porcelanizada de 4.8 litros por descarga, modelo Cadet Pro RF, color blanco.",Pieza,"$1,923.94",Instalaciones sanitarias,Muebles de baño
"Tee de Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",Pieza,"$23,150.52",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",Pieza,"$16,007.13",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",Pieza,"$17,836.63",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",Pieza,"$18,402.11",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",Pieza,"$19,278.12",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",Pieza,"$20,468.67",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",Pieza,"$1,776.53",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2"" (64x51 mm)",Pieza,"$2,131.49",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",Pieza,"$2,315.37",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",Pieza,"$3,265.09",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",Pieza,"$3,455.78",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",Pieza,"$3,716.06",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",Pieza,"$4,081.10",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",Pieza,"$4,311.02",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",Pieza,"$4,724.72",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",Pieza,"$5,113.63",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",Pieza,"$6,276.04",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",Pieza,"$6,691.56",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",Pieza,"$6,972.75",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",Pieza,"$7,437.00",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",Pieza,"$7,876.11",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",Pieza,"$10,207.45",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",Pieza,"$10,821.48",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",Pieza,"$11,386.12",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",Pieza,"$11,947.90",Instalaciones hidráulicas,Conexiones
"Tee de Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",Pieza,"$12,815.09",Instalaciones hidráulicas,Conexiones
Tepetate,m³,$366.85,Agregados,Tepetate
"Piso porcelánico modelo Dome, de 60 x 60 cm, color Graphite, marca Interceramic",m²,$749.98,Pisos y azulejos,Loseta
Tezontle,m³,$653.91,Agregados,Tezontle
"Thinner estándar Comex, bote de 20 litros",l,$57.75,Pinturas y recubrimientos,Thinner y solventes
"Tornillo cabeza extraplana de 6 mm x 1 1/8""",Pieza,$0.36,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 1/2"" x 2"", código EL13051",Pieza,$31.69,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 3/4"" x 4"", código EL19102",Pieza,$78.16,Ferretería,Tornillería
"Tornillo cabeza hexagonal Grado 2 de 7/8"" x 5"", código EL22127",Pieza,$142.42,Ferretería,Tornillería
"Tornillo de acero de 16 x 64 mm (5/8"" x 2 1/2"") para brida",Pieza,$37.51,Ferretería,Tornillería
"Tornillo de acero de 16 x 75 mm (5/8"" x 3"") para brida",Pieza,$41.14,Ferretería,Tornillería
Triplay de madera de pino de 1a de 6 mm x 1.22 x 2.44,m²,$111.54,Maderas,Triplay de acabado
"Tubo de concreto reforzado de 107 cm (42"") con junta hermética, unión espiga-campana, grado 1",m,"$4,313.64",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 122 cm (48"") con junta hermética, unión espiga-caja, grado 1",m,"$5,240.11",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 45 cm (18"") con junta hermética, unión espiga-campana, grado 1",m,$941.29,Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 61 cm (24"") con junta hermética, unión espiga-campana, grado 1",m,"$1,549.05",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 76 cm (30"") con junta hermética, unión espiga-campana, grado 1",m,"$2,260.59",Mampostería,Tubos de concreto
"Tubo de concreto reforzado de 91 cm (36"") con junta hermética, unión espiga-campana, grado 1",m,"$2,972.11",Mampostería,Tubos de concreto
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$140.82,Mampostería,Tubos de concreto
"Tubo de concreto simple de 20 cm (8"") con junta hermética, grado 1",m,$214.94,Mampostería,Tubos de concreto
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$289.06,Mampostería,Tubos de concreto
"Tubo de concreto simple de 30 cm (12"") con junta hermética, grado 1",m,$281.64,Mampostería,Tubos de concreto
"Tubo de concreto simple de 38 cm (15"") con junta hermética, grado 1",m,$622.59,Mampostería,Tubos de concreto
"Tubo de concreto simple de 45 cm (18"") con junta hermética, grado 1",m,$733.76,Mampostería,Tubos de concreto
"Tubo de concreto simple de 61 cm (24"") con junta hermética, grado 1",m,"$1,335.51",Mampostería,Tubos de concreto
"Tubo de concreto simple de 8"" (200 mm)",m,$565.69,Mampostería,Tubos de concreto
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 100 mm (4"") de 6m",m,$146.98,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 150 mm (6"") de 6m",m,$319.68,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 200 mm (8"") de 6m",m,$538.45,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 51 mm (2"") de 6m",m,$40.52,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 64 mm (2 1/2"") de 6m",m,$59.79,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 75 mm (3"") de 6m",m,$88.36,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 114.3 mm (4"") tramo de 6",m,$197.26,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 73 mm (2 1/2"") tramo de 6",m,$84.68,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 88.9 mm (3"") tramo de 6",m,$120.84,Instalaciones hidráulicas,Tubería PVC hidráulica
"Tubo sanitario de PVC pared lisa de 50 mm (2"") tramo de 6",m,$33.86,Instalaciones sanitarias,Tubería PVC sanitaria
"Válvula de compuerta de hierro fundido tipo OS&Y de 102 mm (4"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$16,018.45",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 152 mm (6"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$26,313.47",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 203 mm (8"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$40,275.70",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 254 mm (10"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$60,867.72",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 51 mm (2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$10,097.84",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 64 mm (2 1/2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$10,433.18",Instalaciones hidráulicas,Válvulas de agua
"Válvula de compuerta de hierro fundido tipo OS&Y de 76 mm (3"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",Pieza,"$11,651.95",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 102 mm (4"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$9,036.29",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 152 mm (6"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$13,052.42",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 203 mm (8"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$25,080.74",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 254 mm (10"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$44,177.42",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 51 mm (2"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$5,120.57",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 64 mm (2 1/2"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$5,321.36",Instalaciones hidráulicas,Válvulas de agua
"Válvula de retención de hierro fundido de 76 mm (3"") barrenado a bridas, Clase 125, figura W928F",Pieza,"$6,225.00",Instalaciones hidráulicas,Válvulas de agua
"Varilla corrugada grado 60 de 5/16"", clave 2425",kg,$37.85,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° (3/8"") clave 30764",t,"$22,475.75",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 4 (1/2"") clave 30767",t,"$22,475.75",Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 5 (5/8"") clave 30770",kg,$22.48,Aceros,Varilla
"Varilla de acero corrugada, grado 42 del N° 8 (1"") clave 30776",kg,$22.48,Aceros,Varilla
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$954.44,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,$954.44,Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,017.03",Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,017.03",Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,486.43",Cancelería y vidrio,Ventanas
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,486.43",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.00x1.00 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,340.39",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.20x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,611.60",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.50x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$1,611.60",Cancelería y vidrio,Ventanas
"Ventana corrediza de 1.80x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",Pieza,"$2,502.40",Cancelería y vidrio,Ventanas
"Yeso de construcción, tipo Imperial, color blanco, saco de 40 kg",t,"$2,111.00","Cementos, cales y yesos",Yeso de construcción
